File Name,File Type,Study ID,Participant ID,Sample ID
00007342-df52-4765-9315-f529860af6a5.multi.vqsr.filtered.denovo.vep_105.vcf.gz,vcf,phs002517,PT_VN04Y016,BS_R3XEWNNV
00007342-df52-4765-9315-f529860af6a5.multi.vqsr.filtered.denovo.vep_105.vcf.gz,vcf,phs002517,PT_J96HA0K2,BS_0BNNT7QJ
00007342-df52-4765-9315-f529860af6a5.multi.vqsr.filtered.denovo.vep_105.vcf.gz,vcf,phs002517,PT_GFCE2H6E,BS_TTVFCG7S
00019396-024d-4e34-874e-4048b3ae9e7c.manta.candidateSmallIndels.vcf.gz,vcf,phs002517,PT_0YB0195R,BS_6A1KQYQ0
00019396-024d-4e34-874e-4048b3ae9e7c.manta.diploidSV.vcf.gz,vcf,phs002517,PT_0YB0195R,BS_6A1KQYQ0
00019396-024d-4e34-874e-4048b3ae9e7c.svaba.indel.vcf.gz,vcf,phs002517,PT_0YB0195R,BS_6A1KQYQ0
00019396-024d-4e34-874e-4048b3ae9e7c.svaba.sv.vcf.gz,vcf,phs002517,PT_0YB0195R,BS_6A1KQYQ0
000194be-4cea-46c4-a198-1e014833a543.Aligned.out.sorted.cram,cram,phs002517,PT_TD6ST5MG,BS_2YCJV2VV
000194be-4cea-46c4-a198-1e014833a543.Aligned.out.sorted.cram.crai,crai,phs002517,PT_TD6ST5MG,BS_2YCJV2VV
00023758-d52d-46e5-a33c-69e5d212390d.Aligned.out.sorted.cram,cram,phs002517,PT_JPWVCTAJ,BS_R244Z0WX
00023758-d52d-46e5-a33c-69e5d212390d.Aligned.out.sorted.cram.crai,crai,phs002517,PT_JPWVCTAJ,BS_R244Z0WX
0002c1be-cec0-4c9d-ae61-c9b1e27e2be7.Aligned.out.sorted.cram,cram,phs001437,P0160,"MLL-5,MLL-5_pdx_samp"
0002c1be-cec0-4c9d-ae61-c9b1e27e2be7.Aligned.out.sorted.cram.crai,crai,phs001437,P0160,"MLL-5,MLL-5_pdx_samp"
0002eede-afe8-4941-a494-06bc07706f9a.lancet_somatic.norm.annot.protected.vcf.gz,vcf,phs002517,PT_KTRJ8TFY,BS_5968GBGT
0002eede-afe8-4941-a494-06bc07706f9a.lancet_somatic.norm.annot.public.vcf.gz,vcf,phs002517,PT_KTRJ8TFY,BS_5968GBGT
0002eede-afe8-4941-a494-06bc07706f9a.lancet_somatic.norm.annot.public.vcf.gz,vcf,phs002517,PT_KTRJ8TFY,BS_SNRF1RKC
00047c55-1c7b-48ff-8a50-1a2aae6d45e4.g.vcf.gz,vcf,phs002517,PT_KH0ZC1HX,BS_5Y8PP625
00062de2-19a9-44ea-84b3-74ba810e2c37.g.vcf.gz,vcf,phs002517,PT_6NSPR99T,BS_J27WXQZF
00063ced-0aa1-45aa-ba6f-3c875f4d473a.strelka2_somatic.norm.annot.protected.vcf.gz,vcf,phs002517,PT_7BJBEBZT,BS_164KRQJ0
00063ced-0aa1-45aa-ba6f-3c875f4d473a.strelka2_somatic.norm.annot.protected.vcf.gz,vcf,phs002517,PT_7BJBEBZT,BS_T2025VEQ
00063ced-0aa1-45aa-ba6f-3c875f4d473a.strelka2_somatic.norm.annot.public.vcf.gz,vcf,phs002517,PT_7BJBEBZT,BS_164KRQJ0
00063ced-0aa1-45aa-ba6f-3c875f4d473a.strelka2_somatic.norm.annot.public.vcf.gz,vcf,phs002517,PT_7BJBEBZT,BS_T2025VEQ
0008121e-6ff1-4c8a-bbee-290dc868ac3c.manta.candidateSmallIndels.vcf.gz,vcf,phs002517,PT_0JR4HCPP,BS_KZTEA87K
0008121e-6ff1-4c8a-bbee-290dc868ac3c.manta.diploidSV.vcf.gz,vcf,phs002517,PT_0JR4HCPP,BS_KZTEA87K
0008121e-6ff1-4c8a-bbee-290dc868ac3c.svaba.indel.vcf.gz,vcf,phs002517,PT_0JR4HCPP,BS_KZTEA87K
0008121e-6ff1-4c8a-bbee-290dc868ac3c.svaba.sv.vcf.gz,vcf,phs002517,PT_0JR4HCPP,BS_KZTEA87K
00099c33-3f66-4925-abfc-284217a2dd89.manta.candidateSmallIndels.vcf.gz,vcf,phs002517,PT_SBM3WYV0,BS_5NHJ45B1
00099c33-3f66-4925-abfc-284217a2dd89.manta.diploidSV.vcf.gz,vcf,phs002517,PT_SBM3WYV0,BS_5NHJ45B1
00099c33-3f66-4925-abfc-284217a2dd89.svaba.indel.vcf.gz,vcf,phs002517,PT_SBM3WYV0,BS_5NHJ45B1
00099c33-3f66-4925-abfc-284217a2dd89.svaba.sv.vcf.gz,vcf,phs002517,PT_SBM3WYV0,BS_5NHJ45B1
000ac97a-ef18-4363-96cc-de3105202a45.manta.PASS.vcf.gz,vcf,phs002517,PT_CMB6TASJ,BS_6PQN5AMH
