CHIP	CHIP74	MyeloidPanel	Leudrive	ACMG73
ASXL1	ASXL1	ABCG2	ASXL1	ACTC1
BCL11B	ASXL2	ABL1	ASXL2	ACVRL1
BCOR	BCOR	ABTB1	BCOR	APC
BCORL1	BCORL1	ADAM11	BCORL1	APOB
BIRC3	BRAF	ADCY5	BRAF	ATP7B
BRAF	BRCC3	AKAP13	BRCC3	BMPR1A
BRCC3	CBL	ALPK3	CBL	BRCA1
CARD11	CBLB	ANK2	CBLB	BRCA2
CBL	CEBPA	APOB	CEBPA	BTD
CD58	CREBBP	ARAP2	CREBBP	CACNA1S
CD79B	CSF1R	ASXL1	CSF1R	CASQ2
CNOT3	CSF3R	ASXL1	CSF3R	COL3A1
CREBBP	CTCF	ATG16L1	CTCF	DSC2
CUX1	CUX1	ATP10B	CUX1	DSG2
DDX3X	DNMT3A	ATP2B3	DNMT3A	DSP
DNMT3A	EED	ATRX	EED	ENG
EP300	EP300	BCOR	EP300	FBN1
ETV6	ETNK1	BCOR	ETNK1	FLNC
EZH2	ETV6	BCORL1	ETV6	GAA
FAM46C	EZH2	BMPER	EZH2	GLA
FBXW7	FLT3	BOD1L	FLT3	HFE
FLT3	GATA1	BRAF	GATA1	HNF1A
FOXP1	GATA2	BSN	GATA2	KCNH2
GNAS	GATA3	C10orf118	GATA3	KCNQ1
GNB1	GNA13	C10orf28	GNA13	LDLR
HIST1H1C	GNAS	C17orf97	GNAS	LMNA
IDH2	GNB1	C5	GNB1	MAX
IZKF1	IDH1	CACNA1B	IDH1	MEN1
JAK2	IDH2	CACNA1E	IDH2	MLH1
JARID2	IKZF1	CACNA1G	IKZF1	MSH2
KDM6A	IKZF2	CACNA2D3	IKZF2	MSH6
KIT	IKZF3	CADM2	IKZF3	MUTYH
KLHL6	JAK1	CADPS	JAK1	MYBPC3
KMT2D	JAK2	CALR	JAK2	MYH11
KRAS	JAK3	CALR	JAK3	MYH7
LUC7L2	KDM6A	CBFB	KDM6A	MYL2
MPL	KIT	CBL	KIT	MYL3
MYD88	KMT2A	CBL	KRAS	NF2
NOTCH1	KMT2D	CBLB	LUC7L2	OTC
NOTCH2	KRAS	CBLC	MLL	PALB2
NRAS	LUC7L2	CCDC67	MLL2	PCSK9
PDSS2	MPL	CD74	MPL	PKP2
PHF6	NF1	CDKN2A	NF1	PMS2
PIK3CA	NPM1	CEBPA	NPM1	PRKAG2
PPM1D	NRAS	CEBPA	NRAS	PTEN
PRDM1	PDS5B	CECR2	PDS5B	RB1
PRPB40B	PDSS2	CELSR3	PDSS2	RET
PTPN11	PHF6	CHD4	PHF6	RPE65
RAD21	PHIP	CLEC18B	PHIP	RYR1
RIT1	PPM1D	CMYA5	PPM1D	RYR2
RPS15	PRPF40B	CNTN5	PRPF40B	SCN5A
SETD2	PRPF8	CNTNAP4	PRPF8	SDHAF2
SETDB1	PTEN	COL12A1	PTEN	SDHB
SF3A1	PTPN11	COL5A3	PTPN11	SDHC
SF3B1	RAD21	CRISPLD1	RAD21	SDHD
SMC1A	RUNX1	CROCC	RUNX1	SMAD3
SMC3	SETBP1	CSF3R	SETBP1	SMAD4
SRSF2	SETD2	CSMD1	SETD2	STK11
STAG1	SETDB1	CSMD3	SETDB1	TGFBR1
STAG2	SF1	CUEDC1	SF1	TGFBR2
STAT3	SF3A1	CUL1	SF3A1	TMEM127
SUZ12	SF3B1	CUX1	SF3B1	TMEM43
TBL1XR1	SMC1A	DCHS2	SMC1A	TNNI3
TET1	SMC3	DCLK1	SMC3	TNNT2
TET2	SRSF2	DDR2	SRSF2	TP53
TNFAIP3	STAG1	DDX11	STAG1	TPM1
TNFRSF14	STAG2	DDX41	STAG2	TRDN
TP53	SUZ12	DIS3	SUZ12	TSC1
U2AF1	TET2	DLC1	TET2	TSC2
ZRSR2	TP53	DNAH5	TP53	TTN
	U2AF1	DNAH9	U2AF1	VHL
	U2AF2	DNAI1	U2AF2	WT1
	WT1	DNMT3A	WT1	
	ZRSR2	DNMT3A	ZRSR2	
		DNMT3B		
		DOCK2		
		DRD2		
		DSCAM		
		DST		
		DYNC2H1		
		DYSF		
		E2F8		
		EDIL3		
		EED		
		EEF1A1P29		
		EGFR		
		EPHA10		
		EPPK1		
		ETV6		
		ETV6		
		EZH2		
		EZH2		
		FAM154B		
		FAM40B		
		FAM47A		
		FAM57B		
		FAM5C		
		FAM65A		
		FAM70B		
		FBXW7		
		FCGBP		
		FKBP8		
		FLG		
		FLRT2		
		FLT1		
		FLT3		
		FLT3		
		FOXP1		
		FREM2		
		FRYL		
		GALNTL4		
		GAS6		
		GATA1		
		GATA2		
		GATA2		
		GBP4		
		GIGYF2		
		GJB3		
		GNAS		
		GPR112		
		GPR183		
		GRID1		
		GRIK2		
		GRIK4		
		GRM3		
		GRM8		
		GSTK1		
		HECW1		
		HIVEP1		
		HMCN1		
		HNRNPK		
		HRAS		
		HSP90B3P		
		HYDIN		
		IDH1		
		IDH1		
		IDH2		
		IDH2		
		IGHG3		
		IKZF1		
		IKZF4		
		ILDR1		
		ITPR3		
		JAK1		
		JAK2		
		JAK2		
		JAK3		
		JAK3		
		KCNA4		
		KCNH2		
		KCNK13		
		KCNQ2		
		KCNT1		
		KCNU1		
		KDM3B		
		KDM6A		
		KDM6A		
		KDR		
		KIAA0240		
		KIAA1267		
		KIAA1529		
		KIAA1683		
		KIF2B		
		KIT		
		KIT		
		KMT2A		
		KRAS		
		KRAS		
		KRT19		
		KRT79		
		KSR2		
		LNX1		
		LRBA		
		LRIT1		
		LRP1B		
		LRRC4		
		MAGI2		
		MAP1B		
		MAP2		
		MED12		
		MEFV		
		MEGF8		
		MIR142		
		MLL3		
		MPL		
		MROH5		
		MTA2		
		MTMR8		
		MTUS2		
		MUC16		
		MUC5B		
		MYC		
		MYD88		
		MYH4		
		MYO5B		
		MYOC		
		MYOM3		
		NALCN		
		NAV1		
		NF1		
		NLRC4		
		NMUR2		
		NOTCH1		
		NPM1		
		NPM1		
		NR2E1		
		NRAS		
		NRAS		
		NRXN3		
		NTRK3		
		OR11H12		
		OR13H1		
		OR8B12		
		P2RY2		
		PCDHA13		
		PCDHA6		
		PCDHB1		
		PCDHB18		
		PDCD2L		
		PDGFRA		
		PHACTR1		
		PHF6		
		PHF6		
		PHIP		
		PKD1L2		
		PKD2L1		
		PKHD1		
		PKHD1L1		
		PLCE1		
		PLEKHH1		
		PPP1R3A		
		PRAMEF2		
		PRPF4B		
		PRPF8		
		PSME4		
		PTCH1		
		PTEN		
		PTPN11		
		PTPN11		
		PTPRN		
		PTPRT		
		RAD21		
		RAD21		
		RBBP4		
		RFC3		
		RIMS1		
		RNF213		
		RUNX1		
		RUNX1		
		RUNX1T1		
		RYR1		
		RYR3		
		SBF1P1		
		SCAF8		
		SCARB1		
		SCML2		
		SCN1A		
		SEMA3A		
		SEMA4A		
		SETBP1		
		SETBP1		
		SF3B1		
		SF3B1		
		SHC1		
		SHROOM2		
		SI		
		SLC12A3		
		SLC39A5		
		SMC1A		
		SMC1A		
		SMC3		
		SMC3		
		SMG1		
		SPEG		
		SPEN		
		SRSF2		
		SRSF2		
		ST13P13		
		STAG2		
		STAG2		
		STC2		
		STRN		
		SUZ12		
		SYNGAP1		
		SYT15		
		TCEAL3		
		TCEAL6		
		TET1		
		TET2		
		TET2		
		THRAP3		
		TMEM104		
		TNC		
		TOP3B		
		TP53		
		TP53		
		TRA2B		
		TRPM3		
		TTBK1		
		TUBA3C		
		TYK2		
		U2AF1		
		U2AF1		
		UNC5B		
		USP9X		
		VARS2		
		VCAN		
		WAC		
		WT1		
		WT1		
		XIRP1		
		ZBTB33		
		ZC3H18		
		ZNF687		
		ZRSR2		
				
